r,z
0.01826086956521739,-2.364782608695652
0.13695652173913042,-2.355652173913043
0.18260869565217389,-2.3465217391304347
0.22826086956521738,-2.337391304347826
0.25565217391304346,-2.328260869565217
0.2830434782608695,-2.3191304347826085
0.3104347826086956,-2.3099999999999996
0.328695652173913,-2.300869565217391
0.3378260869565217,-2.2917391304347823
0.3560869565217391,-2.282608695652174
0.3743478260869565,-2.273478260869565
0.3926086956521739,-2.264347826086956
0.41086956521739126,-2.2552173913043476
0.42913043478260865,-2.2460869565217387
0.45652173913043476,-2.2369565217391303
0.47478260869565214,-2.2278260869565214
0.4930434782608695,-2.218695652173913
0.5021739130434782,-2.209565217391304
0.5204347826086956,-2.2004347826086956
0.538695652173913,-2.1913043478260867
0.5478260869565217,-2.182173913043478
0.5569565217391304,-2.1730434782608694
0.566086956521739,-2.1639130434782605
0.5843478260869565,-2.154782608695652
0.5934782608695651,-2.145652173913043
0.6026086956521739,-2.1365217391304347
0.6117391304347826,-2.127391304347826
0.6208695652173912,-2.118260869565217
0.6299999999999999,-2.1091304347826085
0.6391304347826087,-2.0999999999999996
0.6482608695652173,-2.090869565217391
0.657391304347826,-2.0817391304347823
0.6665217391304347,-2.072608695652174
0.6756521739130434,-2.063478260869565
0.6847826086956521,-2.054347826086956
0.6939130434782608,-2.0452173913043477
0.6939130434782608,-2.0360869565217388
0.7030434782608694,-2.0269565217391303
0.7121739130434782,-2.0178260869565214
0.7213043478260869,-2.008695652173913
0.7304347826086955,-1.999565217391304
0.7304347826086955,-1.9904347826086954
0.7395652173913043,-1.9813043478260868
0.748695652173913,-1.972173913043478
0.7578260869565216,-1.9630434782608694
0.7578260869565216,-1.9539130434782606
0.7669565217391303,-1.944782608695652
0.7760869565217391,-1.9356521739130432
0.7760869565217391,-1.9265217391304346
0.7852173913043478,-1.917391304347826
0.7852173913043478,-1.9082608695652172
0.7943478260869564,-1.8991304347826086
0.8034782608695651,-1.8899999999999997
0.8034782608695651,-1.880869565217391
0.8126086956521739,-1.8717391304347823
0.8217391304347825,-1.8626086956521737
0.8217391304347825,-1.853478260869565
0.8308695652173912,-1.8443478260869564
0.8308695652173912,-1.8352173913043477
0.8399999999999999,-1.826086956521739
0.8399999999999999,-1.8169565217391301
0.8491304347826086,-1.8078260869565215
0.8491304347826086,-1.7986956521739128
0.8582608695652173,-1.7895652173913041
0.8582608695652173,-1.7804347826086955
